Num_equipement,Systeme,Description,Date de détéction de l'anomalie,Description de l'équipement,Section propriétaire,Fiabilité Intégrité
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,Confection et installation d'une passerelle de passage secours pour la vanne d'isolement ramonage réchauffeur d'air,2019-01-07 14:41:00,Systeme ramonage U3,34MD,1
6c1c7361-843a-4571-a963-757e871df06b,5f391c46-4f9f-41db-a5bc-95a214d7ddc7,Remplacement vanne de décharge chambre vanne 3 voix des réchauffeurs HP,2019-01-08 10:39:00,HP HTRS BYP-SERV PILOT VLV,34MD,3
41c4a101-90bd-41c7-8af8-4a277a9165c6,dbdd7242-3784-4edb-a7ee-e99970da137c,Entretien des Ecrans et claviers Stations Operateurs Unité 3,2019-01-09 09:12:32,Système de Supervision et Commande Unité 3,34CT,1
bb54b33f-efdf-4a76-adcb-9abeeabbd1cd,ffbdb124-3725-45e9-911c-1d14b603eb3e,Remise en état calorifuge,2019-01-09 11:35:00,CORNER 1 ATOMAZING STEAM VENT,34MD,1
e3f38d34-f1ee-4243-93b2-c347082faf35,cbd40d2b-59cc-4db7-9f41-2986a167df77,prévoir appoint d'huile pompe alimentaire N°10,2019-01-14 16:04:00,Pompe alimentaire  principale  N° 10,34MG,2
98b82203-7170-45bf-879e-f47ba6e12c86,db4d1348-69e4-4af6-b977-361b0b0f2f05,Encrassement filtre d'aspiration de la pompe fioul 10,2019-01-14 16:08:00,POMPE FUEL  PRINCIPALE  N°1,34MC,1
11dbedc0-327e-46f7-bcf3-c33ad1d487d9,8ab799f5-144f-420c-b426-3d7e36b13f59,fuite vapeur par raccord au vanne régulatrice ramonage chaudière 3,2019-01-14 16:09:00,BOILER  SOOTBLOWER  PESSURE REDUCING STATION,34MC,1
e11b33c1-1ef5-41ac-9ec4-4d6675940626,c111ab6f-a961-43ce-b8fe-54b2abf73628,fuite importante CP par bride registre  sortie broyeur C,2019-01-14 16:14:00,PULVERIZER B3 DISCHARGE,34MC,1
86dba0cb-8356-4c0d-a399-c25e7d7554c7,c111ab6f-a961-43ce-b8fe-54b2abf73628,fuite importante CP par bride registre sortie broyeur C,2019-01-14 16:15:00,PULVERIZER C3 DISCHARGE,34MC,1
02c4319d-8d8f-4d82-9421-a481796a7174,c111ab6f-a961-43ce-b8fe-54b2abf73628,fuite importante CP par bride aval registre broyeur C entrée chaudière  ( ANGLE 2),2019-01-14 16:16:00,Vanne isolement CP Broyeur C / foyer angle 2,34MC,1
47d8c538-d1d2-4802-b6be-107166749bf6,150ef315-4a3d-4550-8485-b2cc156c929f,prévoir nettoyer le filtre d'huile  station d'huile de graissage broyeur C (30HFV30AT001B),2019-01-14 16:17:00,PULV C LUBE OIL HEATER,34MC,2
5c1f769e-9327-4bae-98b1-f2544f7f924f,c02e2a84-07c0-4d8b-9fc4-857d25702120,prévoir le nettoyage d'huile au-dessus de la cuve,2019-01-15 08:42:00,CUVE À HUILE TURBINE,34MM,2
52a4ca03-c491-4512-abaa-787479fd8c02,c5799184-0dba-4180-a805-1028a4215ab8,Découpage et soudage des boulons de fixation du transformateur redresseur champ 5 fil A,2019-01-15 13:54:00,RESISTANCE ISOLATEUR SUPPORT CHAMP 5 FILE A,34MD,1
9b2eca8c-2762-4194-9143-1b6275eb1d44,4acb2963-e64c-4a07-9f8d-ba03ec63aa6f,le changement du mode STOP au mode à distance ne fonctionne pas,2019-01-16 09:34:00,COAL FEEDER B,34CT,1
0c090740-2d0b-4cfc-8caa-5e7c2de26f56,9feed3a5-01a1-468d-b024-dea75b0dd68d,Prévoir contrôle  slave CPU nœud 35.,2019-01-16 11:25:00,Armoire de Contrôle Automate Node 35,34CT,2
0c090740-2d0b-4cfc-8caa-5e7c2de26f56,9feed3a5-01a1-468d-b024-dea75b0dd68d,nœud 35 en defaut  ( Voir OT n°: OT938598 ),2019-01-16 11:26:00,Armoire de Contrôle Automate Node 35,34CT,2
bdbab863-3bb9-4f1e-9be1-45db86b5b997,e1768504-8b0f-4753-b9d8-35888de02a4b,PREVOIR LE NETTOYAGE  FILTRE MOTEUR VENTILATEUR SOUFFLAGE B ( Voir OT n°: OT938600 ),2019-01-16 11:29:00,Mesure de Température Enroulement 5 Moteur du Ventilateur d'air Secondaire B,34EL,3
b16f90d0-7119-42fe-bea3-0b30e2a3b0a8,52b20517-a1ba-4b78-8711-adebd336a6c2,aggravation fuite d'huile étanchéité par joint palier arrière alternateur,2019-01-17 08:35:00,ALTERNATEUR,34EL,3
d7b05f9a-ddc4-4e0b-b4a1-67eaa90bdcdd,8339f76d-30eb-4918-99db-854ff69352fb,Confection d'un bac de rétention des huiles,2019-01-17 12:21:00,MOTEUR VENTILEATEUR SECHEUR DE GEL,34MD,1
775d0381-6e2e-4e5c-b704-7362151fe1c8,4acb2963-e64c-4a07-9f8d-ba03ec63aa6f,prévoir contrôle afficheur alimentateur _B,2019-01-17 12:39:00,COAL FEEDER B,34CT,1
f873eab7-a9a2-4d92-b8ba-2a761fa1368f,8c925644-3527-4713-a37a-7458857987ae,PREVOIR CONTROLER COMMANDE/POSITION VANNE REGULATRICE DE T° FIOUL.,2019-01-17 12:40:00,VANNE REGULATRICE DE TEMPERATURE DE CHAUFFAGE FIOU,34CT,1
b16f90d0-7119-42fe-bea3-0b30e2a3b0a8,52b20517-a1ba-4b78-8711-adebd336a6c2,fuite d'eau (goute à goute) par bride flasque alternateur coté excitatrice,2019-01-22 14:11:00,ALTERNATEUR,34EL,3
89e214e1-6a1c-46e6-8e18-f5189a5e2444,c5799184-0dba-4180-a805-1028a4215ab8,transfo-redresseur 6A déclenché par sectionneur basse tension .,2019-01-22 14:11:00,TRANSFORMATEUR REDRESSEUR CHAMP6 FILE A,34EL,2
89e214e1-6a1c-46e6-8e18-f5189a5e2444,c5799184-0dba-4180-a805-1028a4215ab8,déclenché par minimum tension .,2019-01-22 14:11:00,TRANSFORMATEUR REDRESSEUR CHAMP6 FILE A,34EL,2
8c25439a-4cc0-4951-ae68-10f03133e092,ea20dd26-5178-4fab-ac36-5855da36d870,Prévoir soufflage moteur pompe eau de mer 20,2019-01-22 14:12:00,CWP20 MOTOR AIR TEMP,34EL,2
b9cd5800-9776-4655-b404-4745cab8fa79,ea20dd26-5178-4fab-ac36-5855da36d870,Prévoir soufflage moteur pompe eau de mer 10,2019-01-22 14:12:00,CWP10 MOTOR AIR TEMP,34EL,2
0bf78cda-9a2a-484a-b810-67d3dc0c84e7,14cee9a2-347d-4ad8-9ee4-7f0f842d2931,bruit anormale au niveau ventilateur du moteur,2019-01-22 14:12:00,MOTEUR DE LA POMPE HP N°1 DE COMMANDE DES ORGANES,34EL,4
9eedbb57-b683-4bbc-8803-adab8871ade2,14cee9a2-347d-4ad8-9ee4-7f0f842d2931,bruit anormale au niveau du moteur pompe huile de commande max10,2019-01-22 14:12:00,POMPE D'HUILE DE COMMANDE DES VANNES D'A,34EL,4
dbbb2d89-c7a1-4d71-9557-cae2cd6f1a55,c5799184-0dba-4180-a805-1028a4215ab8,Prévoir contrôler le champs électrique 3A tr3 ( minimum de tension ).,2019-01-22 14:12:00,ELECTROFILTRE A,34EL,2
17e81bc3-ea43-4ddb-b163-bab5d8e34e27,f771d801-5357-4818-976c-6a8102b713e2,apparition alarme fréquente capteur de vitesse décrasseur(émerge off).,2019-01-24 08:32:00,Instrumentations du décrasseur,34EL,3
1e0bba70-b644-4e52-8f2c-54e68d199e31,8ab799f5-144f-420c-b426-3d7e36b13f59,SOUPAPE RAMONEUR IK34  NON ÉTANCHE  (lance chaude ),2019-01-24 08:33:00,SOUPAPE DE RAMONEUR LONG RETRACTABLE N°34 TYPE IK,34MC,1
dbbb2d89-c7a1-4d71-9557-cae2cd6f1a55,c5799184-0dba-4180-a805-1028a4215ab8,prévoir contrôler le champs 4A tr3 ( minimum de tension ),2019-01-24 12:33:00,ELECTROFILTRE A,34EL,2
b2099c28-40d3-467d-aa05-6c9b733c1e50,37494786-8eeb-404e-bedf-f532bab67dea,apparition d'une fuite d'huile au niveau de la pompe d'extraction 10.,2019-01-28 08:46:00,POMPE D'EXTRACTION  N°1,34EL,2
d14b6610-a105-4416-907b-bc99b51b91b9,c5799184-0dba-4180-a805-1028a4215ab8,indication locale (température d'huile basse) .,2019-01-28 08:46:00,TRANSFORMATEUR REDRESSEUR CHAMP4 FILE A,34EL,1
8ed3722a-e1ac-4338-ba4a-c8647f185396,8ab799f5-144f-420c-b426-3d7e36b13f59,soupape ramoneur IK33  non étanche (lance chaude ),2019-01-28 09:13:00,SOUPAPE DE RAMONEUR LONG RETRACTABLE N°33 TYPE IK,34MC,1
95d0467c-d218-43cb-8ee2-ee514d6c80f6,c5799184-0dba-4180-a805-1028a4215ab8,Fixation par soudeur transfo-redresseur tranche 03 5B,2019-01-29 10:00:16,TRANSFORMATEUR REDRESSEUR CHAMP5 FILE B,34MD,1
e37217a3-5ad4-4c31-bcc3-581130d00c67,f7edce60-d1a5-401a-b673-f1193930615c,Rechargement d’une bride par soudure,2019-01-29 13:00:15,SAS A SOUS CHAMP 3 ELECTROFILTRE B,34MD,1
17e81bc3-ea43-4ddb-b163-bab5d8e34e27,f771d801-5357-4818-976c-6a8102b713e2,apparition alarme capteur de vitesse decraseur,2019-01-30 13:23:00,Instrumentations du décrasseur,34EL,3
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,Remise en état convoyeur économiseur haut,2019-01-30 15:08:13,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34MD,2
0b9f6bd7-9400-4d60-a707-74f5129707ec,66776911-166d-4cbf-9c59-b8922124b6b7,prévoir la remise en état la vanne de by-pass vanne désurchauffe VAR LAC20.,2019-02-04 08:43:00,Vanne Déssuchauffe Pompe Alimentaire N°20,34MM,1
78988d21-f44e-4437-b226-b28ed91591fd,682be4a0-318a-4d5e-baec-89577cfa490d,présence fuite de vapeur,2019-02-04 08:48:00,Contacteur de niveau haut RHP 7.,34MD,1
977d6068-085a-494b-b7df-776b0514cddb,8ab799f5-144f-420c-b426-3d7e36b13f59,LA VANNE PNEUMATIQUE ALIMENTATION RAMONEUR RLJ NE S OUVRE PAS,2019-02-04 09:30:00,SOOTBLOWER REMOTE I/O PANEL,34CT,1
7ee2cda6-4c32-41d5-b5ca-8a04581b5804,f502af0f-2fad-474a-bc39-d882f169d0c7,prévoir changement niveau d alarme max1 etmax2 des niveaux trémies charbon de (rouge au jaune),2019-02-04 09:37:00,Transmetteur de Niveau Trémies Charbon du Broyeur A,34CT,1
d408215e-6857-4608-bed0-4395e8dbaaff,39d80114-6550-4afc-9cbc-fc0fb22f22cc,fuite de vapeur  au niveau du transmetteur niveau ballon,2019-02-04 10:58:00,STM DRUM WATER LEVEL,34CT,2
07ee3703-206a-4fe9-89fe-43bb9f61d56f,cbd40d2b-59cc-4db7-9f41-2986a167df77,fuite d'eau alimentaire par presse étoupe vanne conditionnement.,2019-02-04 11:00:00,VANNE DE PURGE,34MM,1
d7d0355f-bb50-46a2-a49d-347e82549654,14cee9a2-347d-4ad8-9ee4-7f0f842d2931,Fuite d'huile de commande turbine au niveau du circuit d'alimentation .,2019-02-04 11:01:00,ROBINET D'ISOLATION,34MM,2
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,Remplacement bride soupape ramonage réchauffeur d'air circuit VS,2019-02-04 12:05:00,Systeme ramonage U3,34MD,1
d39598d4-ddfe-4389-ab08-f6688e99c7b8,bdc3f038-04d2-461d-9f77-c0f5c77b453c,PREVOIR CONTROLER COMMANDE /POSITION REGISTRE AIR FROID BROYEUR C,2019-02-05 10:40:00,REGISTRE AIR FROID BROYEUR C.,34CT,1
ef5402f6-d87c-49fb-b638-a5ccac5d32ea,cbd40d2b-59cc-4db7-9f41-2986a167df77,PREVOIR CONTROLE TRANSMETTEEUR NIVEEAU D'HUILE POMPE ALIMENTAIRE 30. ,2019-02-05 10:43:00,Niveau huile cuve coupleur N°30,34CT,1
49cd589a-0c8a-4082-b941-a079d1c66727,d3e617aa-b5b2-49db-8ba0-c09d4d2083b9,PREVOIR CONTROLE COMMANDE/POSITION DE L'INCLINAISON.,2019-02-05 10:45:00,COMMANDE DES INCLINAISON BRÛLEURS COIN 1.,34CT,1
d8713553-868e-44f0-b158-1127185abc05,fb2a4caa-b67f-43d8-8e30-2c561492e889,Manque d'éclairage à coté des broyeurs TR3,2019-02-05 14:23:00,VANNE DE REMPLISSAGE SAS A SORTIE BROYEUR A,34EL,1
1a8f6b1a-5553-41fb-a2a9-ef1afcf7cfd0,b7dd37f4-8f86-4391-955e-c0db891bec12,Prévoir faire l'appoint d'huile ETP11 TR3.,2019-02-06 15:52:00,SYSTEME ETP,34MC,1
13f36e8d-00ef-424b-b416-2b84eea4e99c,a8bd07dc-564e-4fd3-b1de-77bf2d6a645e,prévoir l'appoint de huile.,2019-02-06 16:00:00,Pompe eau stator,34MG,1
c0b407ba-7a42-4b68-9ae6-4fcb6300c8b6,b7dd37f4-8f86-4391-955e-c0db891bec12,appoint  d'huile au niveau du compresseur 11.,2019-02-06 16:01:00,COMPRESSEUR D'AIR B TYPE GA90W,34MG,1
b89924ad-3b10-4a50-bc58-ef3bd67c0d36,00436d58-0122-4896-b67f-e94022a291dc,percement tube SBT chaudiere,2019-02-08 14:36:00,Echangeur SBT,34MD,3
c4ad85ee-80d2-43c1-b135-39e48851f961,4329adc9-2947-43f7-ae98-e1006f40aedc,Mise en place des chaines de sécurité des échelles au tour condenseur U03,2019-02-08 14:51:00,unité 03,34MD,1
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,Découpage des raclettes chaine convoyeur économiseur,2019-02-10 08:24:00,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34MD,1
7ae3168d-79c5-49c2-9aad-3b30049295be,1c7fc197-44ed-4d71-b7aa-485d496a2f56,Elimination des caillebotis au dessus des vannes,2019-02-10 13:26:00,VANNE D'ISOLEMENT,34MD,1
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,Elimination ancien garde corps,2019-02-10 13:36:00,Systeme ramonage U3,34MD,1
3e3025b5-21a9-42ae-9c83-def0612a6cd5,fa5d8f4c-86d6-4e5e-a412-1d42f35111cc,prévoir configuration courbe de consommation totale charbon par jour  (30HHY00CR100_XJ60),2019-02-11 08:27:00,Control and protection chaudiere 3,34CT,3
cabaf3c4-3882-443e-be87-d5a3a3531ea4,d3e617aa-b5b2-49db-8ba0-c09d4d2083b9,l'inclinaison de l'angle n°2 ne bascule pas a la monté,2019-02-11 08:28:00,COMMANDE DES INCLINAISON BRÛLEURS COIN 2.,34CT,1
dbbb2d89-c7a1-4d71-9557-cae2cd6f1a55,c5799184-0dba-4180-a805-1028a4215ab8,Prévoir contrôler le champ 1A tr3 ( minimum de tension ).,2019-02-11 08:52:00,ELECTROFILTRE A,34EL,2
c4ad85ee-80d2-43c1-b135-39e48851f961,4329adc9-2947-43f7-ae98-e1006f40aedc,chaudière percée,2019-02-11 11:34:00,unité 03,34MD,3
dfc045f9-16ab-4911-8de3-6392bd0b8f44,c111ab6f-a961-43ce-b8fe-54b2abf73628,fuite d'air au distributeur d'air de commande trappe sortie broyeur a,2019-02-11 11:38:00,SERVOMOTEUR PNEUMATIQUE DU REGISTRE DE DECHARGE BR,34CT,1
71aa507f-d763-47a0-99bb-e181038c786b,f7edce60-d1a5-401a-b673-f1193930615c,Elimination fuite cendre volante sur conduite coté silo,2019-02-11 14:53:00,SYSTEM ETG,34MD,1
71aa507f-d763-47a0-99bb-e181038c786b,f7edce60-d1a5-401a-b673-f1193930615c,Remise en état garde corps au dessus electrofiltre,2019-02-12 09:42:00,SYSTEM ETG,34MD,1
708a97eb-180a-456e-9270-f073ef37775b,8becbd89-5a10-405e-933a-8cf5d05aa6e4,Prévoir la remise en état des courbe du by pass HP (display 3462),2019-02-13 12:30:00,BY-PASS HP,34CT,1
2c7384a7-f85a-4d44-8e37-eaecd79e229c,05b99274-9c03-4073-b564-ebfa2d5a5606,prévoir le soufflage transmetteur DP air P / foyer,2019-02-13 15:51:00,Transmetteur différentiel d'air primaire chaud/foyer,34CT,1
3280c1d8-d848-4e29-ab1b-fc4277c339f5,e1768504-8b0f-4753-b9d8-35888de02a4b,Prévoir soufflage tube pitaux A,2019-02-13 15:52:00,"Tube de pitaux N°1 aspiration ventillateur A"".""",34CT,1
c4ad85ee-80d2-43c1-b135-39e48851f961,4329adc9-2947-43f7-ae98-e1006f40aedc,EPI pour service I&C 34,2019-02-14 09:36:32,unité 03,34CT,1
708a97eb-180a-456e-9270-f073ef37775b,8becbd89-5a10-405e-933a-8cf5d05aa6e4,la vanne by passe HP reste ouverte 2%,2019-02-15 08:42:00,BY-PASS HP,34CT,2
4d0fb828-7e5b-4096-90c8-1ecff2ea093a,a8bd07dc-564e-4fd3-b1de-77bf2d6a645e,cisaillement des boulons de fixation du vanne de vidange eau stator,2019-02-15 08:49:00,VANNE D'ISOLEMENT DEBIT D'EAU,34MM,1
f886397d-a00b-4650-a0da-188c37f60bb4,c111ab6f-a961-43ce-b8fe-54b2abf73628,fuite charbon pulvérise au registre sortie broyeur b,2019-02-15 08:59:00,PULVERIZER B3 DISCHARGE,34MD,1
b4fdf329-4fe7-4581-97b5-b8b8575df49e,f7edce60-d1a5-401a-b673-f1193930615c,percement au niveau du conduite de convoyage 2A ( avant la vanne de convoyage).,2019-02-15 08:59:00,SAS A SOUS CHAMP 2 ELECTROFILTRE A,34MD,2
c4ad85ee-80d2-43c1-b135-39e48851f961,4329adc9-2947-43f7-ae98-e1006f40aedc,ASSENCEUR SE BLOQUE AU NIVEAU 2ET3,2019-02-18 14:48:00,unité 03,34EL,1
dbbb2d89-c7a1-4d71-9557-cae2cd6f1a55,c5799184-0dba-4180-a805-1028a4215ab8,transfo 6A déclenché par minimum tension,2019-02-18 14:49:00,ELECTROFILTRE A,34EL,2
cdb3a3bc-8b32-4489-a100-2737c411d7a5,150ef315-4a3d-4550-8485-b2cc156c929f,prévoir le contrôle des résistances du chauffage d'huile,2019-02-18 14:49:00,PULV  D LUBE OIL HEATER,34EL,1
71aa507f-d763-47a0-99bb-e181038c786b,f7edce60-d1a5-401a-b673-f1193930615c,éclairage indisponible au niveau d'électrofiltre tranche 3 (niveau 0 ).,2019-02-18 14:49:00,SYSTEM ETG,34EL,1
e5b1e3ce-17f6-440f-820f-9397a81eb333,b19afa19-b87f-43d7-b83e-d3c8a4d4f967,Remise en état échelle et garde corps palier support réchauffeur d'air,2019-02-19 13:06:00,RECHAUFFEUR D'AIR.,34MD,1
27a7ff2f-92ee-481c-992c-cfcd76881d05,c111ab6f-a961-43ce-b8fe-54b2abf73628,éclairage insuffisant au niveau 0 près des broyeurs et ventilateur de tirage.,2019-02-20 10:12:00,Systeme  de broyage U3,34EL,1
c85481f3-e6ec-4358-ad94-282553a6a1c2,f7edce60-d1a5-401a-b673-f1193930615c,Percement au niveau du conduite du convoyage champ 2A,2019-02-21 08:41:00,SAS  SOUS CHAMP 2 ELECTROFILTRE A,34MD,2
1ece870e-7f44-498f-ac69-1029356afe01,d3e617aa-b5b2-49db-8ba0-c09d4d2083b9, PRÉVOIR CONTRÔLE POSITION  INCLINAISON  ( POMPAGE POSITION  ),2019-02-22 08:55:00,Main burners U3,34CT,1
2eb34d95-b09e-40bc-925e-4f6fe735d899,e1768504-8b0f-4753-b9d8-35888de02a4b,PRÉVOIR SOUFFLAGE TUBE PYTTO VENTILATEUR DE SOUFFLAGE,2019-02-22 08:56:00,Ventilateur de souflage A,34CT,1
335cb2e3-27e9-4eb0-b1f4-7e74f2eec0b6,ea20dd26-5178-4fab-ac36-5855da36d870,Remplacement moteur du tambour filtrant eau de mer,2019-02-25 08:53:00,Pompe Eau de Mer 10,34EL,1
f8c30913-6eee-48b1-a23f-7b131064a502,e1768504-8b0f-4753-b9d8-35888de02a4b,NETTOYAGE FILTRES MOTEUR VENTILATEUR SOUFFLAGE B,2019-02-25 09:34:00,Moteur de souflage B,34EL,1
5be080d4-bae4-4b70-8d17-23790faecb2f,c111ab6f-a961-43ce-b8fe-54b2abf73628,NETTOYAGE FILTRES MOTEURS BROYEURS A ET B,2019-02-25 09:34:00,MOTEUR BROYEUR A,34EL,1
3280c1d8-d848-4e29-ab1b-fc4277c339f5,e1768504-8b0f-4753-b9d8-35888de02a4b,nettoyage tube de pitaux ventilateur soufflage A,2019-02-25 10:09:00,"Tube de pitaux N°1 aspiration ventillateur A"".""",34CT,1
bbbf2a6f-c58d-444b-bfae-2d4d015847a5,8ab799f5-144f-420c-b426-3d7e36b13f59,défaut de FC ramonneur IR39,2019-02-25 16:18:00,SOUPAPE DE RAMONEUR N°39 D'EFFACEMENT TYPE IR,34EL,1
71aa507f-d763-47a0-99bb-e181038c786b,f7edce60-d1a5-401a-b673-f1193930615c,Percement au niveau de conduite de convoyage des cendres volants 1A tr3,2019-02-25 16:23:00,SYSTEM ETG,34MD,2
dafa54a3-c592-485a-8d46-be3e0d4490f9,f7edce60-d1a5-401a-b673-f1193930615c,Percement au niveau de conduite de convoyage des cendres volants champ 3b tr3.,2019-02-26 09:07:43,SAS B SOUS CHAMP 1 ELECTROFILTRE B,34MD,2
7ef8d3bf-49da-47de-860a-442eef210cc8,e2183f03-56ef-43ea-801e-cb5b88a8fc7f,fuite d'huile par palier pompe d'eau de noria secouru,2019-02-27 08:51:00,Pompe Noria secourue,34MM,2
71aa507f-d763-47a0-99bb-e181038c786b,f7edce60-d1a5-401a-b673-f1193930615c,Rechargement des disques pour joint des vannes de convoyage,2019-02-27 14:40:00,SYSTEM ETG,34MD,1
0af9dd03-7930-4539-9264-f726fa16fc9a,f771d801-5357-4818-976c-6a8102b713e2,arrêt fréquemment du système (a contrôler),2019-02-28 12:06:00,SYSTEM ETA,34EXP,2
d083afc3-de2c-4a43-9364-bfefc44ca932,8ab799f5-144f-420c-b426-3d7e36b13f59,prévoir contrôle DP broyeur A,2019-03-01 13:11:00,PRESSOSTAT,34CT,1
52094675-5e77-43a1-b819-c5a16163fae8,5f391c46-4f9f-41db-a5bc-95a214d7ddc7,prévoir contrôle débit eau alimentaire 30LAB40FF001X (PERTE MESURE),2019-03-03 13:10:00,DEBIT EAU D'ALIM,34CT,1
7ee67dae-ab1a-440e-b1ca-ed4256062adc,ecf5d507-cb6a-4d07-af67-71ec6951c4da,prévoir le changement du manomètre du clapet hydraulique PAC 10.,2019-03-04 10:13:00,MANOMETRE,34CT,1
1506a5da-0145-49a3-9117-1cfa8f1e8811,81bbe0e5-a5eb-4927-ad34-a31f5d69203a,Prévoir la remise en état du pont roulant de la chaine du broyage  unité 03  (pont roulant non conforme),2019-03-05 09:42:00,MILL MAINTENANCE HOIST,34EL,1
574fee90-c68f-45d0-91be-bd97a878e594,f771d801-5357-4818-976c-6a8102b713e2,Fuite d'huile au niveau du réducteur moteur décrasseur.,2019-03-05 11:58:00,MOTEUR DECRASSEUR,34MC,2
98b82203-7170-45bf-879e-f47ba6e12c86,db4d1348-69e4-4af6-b977-361b0b0f2f05,bruit anormal au niveau de la pompe fuel 10 U3 (prévoir contrôler le filtre  ),2019-03-05 11:59:00,POMPE FUEL  PRINCIPALE  N°1,34MC,2
